t,i
0.00439500,-0.218
0.00440000,-0.240
0.00440500,-0.222
0.00441000,-0.222
0.00441500,-0.203
0.00442000,-0.186
0.00442500,-0.180
0.00443000,-0.183
0.00443500,-0.172
0.00444000,-0.215
0.00444500,-0.226
0.00445000,-0.206
0.00445500,-0.206
0.00446000,-0.228
0.00446500,-0.209
0.00447000,-0.191
0.00447500,-0.197
0.00448000,-0.188
0.00448500,-0.204
0.00449000,-0.199
0.00449500,-0.190
0.00450000,-0.203
0.00450500,-0.198
0.00451000,-0.198
0.00451500,-0.216
0.00452000,-0.205
0.00452500,-0.191
0.00453000,-0.187
0.00453500,-0.204
0.00454000,-0.219
0.00454500,-0.195
0.00455000,-0.203
0.00455500,-0.235
0.00456000,-0.222
0.00456500,-0.214
0.00457000,-0.218
0.00457500,-0.221
0.00458000,-0.228
0.00458500,-0.238
0.00459000,-0.239
0.00459500,-0.242
0.00460000,-0.233
0.00460500,-0.247
0.00461000,-0.227
0.00461500,-0.250
0.00462000,-0.255
0.00462500,-0.238
0.00463000,-0.255
0.00463500,-0.254
0.00464000,-0.235
0.00464500,-0.243
0.00465000,-0.246
0.00465500,-0.262
0.00466000,-0.279
0.00466500,-0.273
0.00467000,-0.261
0.00467500,-0.256
0.00468000,-0.279
0.00468500,-0.266
0.00469000,-0.218
0.00469500,-0.242
0.00470000,-0.262
0.00470500,-0.247
0.00471000,-0.238
0.00471500,-0.232
0.00472000,-0.218
0.00472500,-0.216
0.00473000,-0.224
0.00473500,-0.218
0.00474000,-0.220
0.00474500,-0.237
0.00475000,-0.255
0.00475500,-0.251
0.00476000,-0.244
0.00476500,-0.215
0.00477000,-0.216
0.00477500,-0.257
0.00478000,-0.246
0.00478500,-0.230
0.00479000,-0.222
0.00479500,-0.212
0.00480000,-0.211
0.00480500,-0.224
0.00481000,-0.222
0.00481500,-0.231
0.00482000,-0.222
0.00482500,-0.223
0.00483000,-0.229
0.00483500,-0.218
0.00484000,-0.223
0.00484500,-0.216
0.00485000,-0.208
0.00485500,-0.223
0.00486000,-0.243
0.00486500,-0.213
0.00487000,-0.220
0.00487500,-0.242
0.00488000,-0.228
0.00488500,-0.212
0.00489000,-0.253
0.00489500,-0.244
0.00490000,-0.222
0.00490500,-0.251
0.00491000,-0.224
0.00491500,-0.238
0.00492000,-0.243
0.00492500,-0.204
0.00493000,-0.229
0.00493500,-0.204
0.00494000,-0.227
0.00494500,-0.258
0.00495000,-0.228
0.00495500,-0.239
0.00496000,-0.220
0.00496500,-0.247
0.00497000,-0.257
0.00497500,-0.235
0.00498000,-0.241
0.00498500,-0.233
0.00499000,-0.234
0.00499500,-0.206
0.00500000,-0.204
0.00500500,-0.246
0.00501000,-0.231
0.00501500,-0.238
0.00502000,-0.252
0.00502500,-0.246
0.00503000,-0.218
0.00503500,-0.229
0.00504000,-0.224
0.00504500,-0.203
0.00505000,-0.224
0.00505500,-0.261
0.00506000,-0.315
0.00506500,-0.350
0.00507000,-0.378
0.00507500,-0.399
0.00508000,-0.442
0.00508500,-0.470
0.00509000,-0.471
0.00509500,-0.480
0.00510000,-0.529
0.00510500,-0.533
0.00511000,-0.553
0.00511500,-0.548
0.00512000,-0.533
0.00512500,-0.530
0.00513000,-0.521
0.00513500,-0.512
0.00514000,-0.536
0.00514500,-0.560
0.00515000,-0.559
0.00515500,-0.594
0.00516000,-0.606
0.00516500,-0.616
0.00517000,-0.623
0.00517500,-0.645
0.00518000,-0.644
0.00518500,-0.614
0.00519000,-0.593
0.00519500,-0.584
0.00520000,-0.578
0.00520500,-0.621
0.00521000,-0.647
0.00521500,-0.671
0.00522000,-0.689
0.00522500,-0.716
0.00523000,-0.753
0.00523500,-0.764
0.00524000,-0.783
0.00524500,-0.819
0.00525000,-0.864
0.00525500,-0.865
0.00526000,-0.894
0.00526500,-0.913
0.00527000,-0.954
0.00527500,-0.977
0.00528000,-1.008
0.00528500,-1.013
0.00529000,-1.038
0.00529500,-1.044
0.00530000,-1.064
0.00530500,-1.101
0.00531000,-1.107
0.00531500,-1.132
0.00532000,-1.123
0.00532500,-1.139
0.00533000,-1.160
0.00533500,-1.166
0.00534000,-1.169
0.00534500,-1.185
0.00535000,-1.194
0.00535500,-1.202
0.00536000,-1.256
0.00536500,-1.264
0.00537000,-1.257
0.00537500,-1.267
0.00538000,-1.281
0.00538500,-1.257
0.00539000,-1.315
0.00539500,-1.327
0.00540000,-1.347
0.00540500,-1.360
0.00541000,-1.390
0.00541500,-1.436
0.00542000,-1.457
0.00542500,-1.458
0.00543000,-1.473
0.00543500,-1.497
0.00544000,-1.526
0.00544500,-1.527
0.00545000,-1.549
0.00545500,-1.576
0.00546000,-1.596
0.00546500,-1.612
0.00547000,-1.655
0.00547500,-1.683
0.00548000,-1.725
0.00548500,-1.719
0.00549000,-1.729
0.00549500,-1.753
0.00550000,-1.760
0.00550500,-1.813
0.00551000,-1.842
0.00551500,-1.850
0.00552000,-1.878
0.00552500,-1.893
0.00553000,-1.939
0.00553500,-1.919
0.00554000,-1.953
0.00554500,-1.965
0.00555000,-2.028
0.00555500,-2.033
0.00556000,-2.053
0.00556500,-2.063
0.00557000,-2.097
0.00557500,-2.101
0.00558000,-2.124
0.00558500,-2.116
0.00559000,-2.167
0.00559500,-2.168
0.00560000,-2.204
0.00560500,-2.228
0.00561000,-2.252
0.00561500,-2.280
0.00562000,-2.269
0.00562500,-2.295
0.00563000,-2.322
0.00563500,-2.340
0.00564000,-2.363
0.00564500,-2.378
0.00565000,-2.385
0.00565500,-2.406
0.00566000,-2.432
0.00566500,-2.430
0.00567000,-2.471
0.00567500,-2.462
0.00568000,-2.480
0.00568500,-2.517
0.00569000,-2.546
0.00569500,-2.546
0.00570000,-2.577
0.00570500,-2.603
0.00571000,-2.612
0.00571500,-2.639
0.00572000,-2.655
0.00572500,-2.664
0.00573000,-2.669
0.00573500,-2.694
0.00574000,-2.706
0.00574500,-2.743
0.00575000,-2.756
0.00575500,-2.777
0.00576000,-2.788
0.00576500,-2.828
0.00577000,-2.820
0.00577500,-2.843
0.00578000,-2.842
0.00578500,-2.864
0.00579000,-2.876
0.00579500,-2.906
0.00580000,-2.887
0.00580500,-2.927
0.00581000,-2.951
0.00581500,-2.929
0.00582000,-2.960
0.00582500,-3.019
0.00583000,-3.014
0.00583500,-3.041
0.00584000,-3.020
0.00584500,-3.042
0.00585000,-3.064
0.00585500,-3.092
0.00586000,-3.089
0.00586500,-3.096
0.00587000,-3.124
0.00587500,-3.131
0.00588000,-3.148
0.00588500,-3.160
0.00589000,-3.169
0.00589500,-3.202
0.00590000,-3.233
0.00590500,-3.232
0.00591000,-3.230
0.00591500,-3.277
0.00592000,-3.262
0.00592500,-3.278
0.00593000,-3.315
0.00593500,-3.323
0.00594000,-3.301
0.00594500,-3.318
0.00595000,-3.352
0.00595500,-3.370
0.00596000,-3.388
0.00596500,-3.389
0.00597000,-3.393
0.00597500,-3.425
0.00598000,-3.433
0.00598500,-3.463
0.00599000,-3.455
0.00599500,-3.453
0.00600000,-3.459
0.00600500,-3.467
0.00601000,-3.479
0.00601500,-3.519
0.00602000,-3.553
0.00602500,-3.538
0.00603000,-3.552
0.00603500,-3.568
0.00604000,-3.584
0.00604500,-3.580
0.00605000,-3.590
0.00605500,-3.600
0.00606000,-3.649
0.00606500,-3.670
0.00607000,-3.658
0.00607500,-3.655
0.00608000,-3.684
0.00608500,-3.674
0.00609000,-3.712
0.00609500,-3.711
0.00610000,-3.741
0.00610500,-3.753
0.00611000,-3.776
0.00611500,-3.790
0.00612000,-3.789
0.00612500,-3.788
0.00613000,-3.805
0.00613500,-3.827
0.00614000,-3.829
0.00614500,-3.861
0.00615000,-3.851
0.00615500,-3.870
0.00616000,-3.894
0.00616500,-3.912
0.00617000,-3.929
0.00617500,-3.927
0.00618000,-3.953
0.00618500,-3.949
0.00619000,-3.973
0.00619500,-3.992
0.00620000,-3.991
0.00620500,-4.002
0.00621000,-4.006
0.00621500,-4.051
0.00622000,-4.072
0.00622500,-4.074
0.00623000,-4.077
0.00623500,-4.096
0.00624000,-4.073
0.00624500,-4.113
0.00625000,-4.122
0.00625500,-4.151
0.00626000,-4.165
0.00626500,-4.198
0.00627000,-4.199
0.00627500,-4.224
0.00628000,-4.198
0.00628500,-4.240
0.00629000,-4.211
0.00629500,-4.239
0.00630000,-4.260
0.00630500,-4.298
0.00631000,-4.276
0.00631500,-4.304
0.00632000,-4.294
0.00632500,-4.326
0.00633000,-4.321
0.00633500,-4.346
0.00634000,-4.362
0.00634500,-4.376
0.00635000,-4.372
0.00635500,-4.369
0.00636000,-4.381
0.00636500,-4.417
0.00637000,-4.430
0.00637500,-4.442
0.00638000,-4.472
0.00638500,-4.474
0.00639000,-4.453
0.00639500,-4.505
0.00640000,-4.525
0.00640500,-4.520
0.00641000,-4.531
0.00641500,-4.562
0.00642000,-4.564
0.00642500,-4.576
0.00643000,-4.585
0.00643500,-4.616
0.00644000,-4.592
0.00644500,-4.628
0.00645000,-4.606
0.00645500,-4.641
0.00646000,-4.663
0.00646500,-4.671
0.00647000,-4.703
0.00647500,-4.703
0.00648000,-4.725
0.00648500,-4.730
0.00649000,-4.723
0.00649500,-4.715
0.00650000,-4.738
0.00650500,-4.739
0.00651000,-4.771
0.00651500,-4.786
0.00652000,-4.795
0.00652500,-4.808
0.00653000,-4.805
0.00653500,-4.849
0.00654000,-4.842
0.00654500,-4.846
0.00655000,-4.849
0.00655500,-4.861
0.00656000,-4.866
0.00656500,-4.911
0.00657000,-4.911
0.00657500,-4.905
0.00658000,-4.924
0.00658500,-4.928
0.00659000,-4.938
0.00659500,-4.948
0.00660000,-4.954
0.00660500,-4.980
0.00661000,-4.996
0.00661500,-4.998
0.00662000,-5.028
0.00662500,-5.021
0.00663000,-5.058
0.00663500,-5.056
0.00664000,-5.071
0.00664500,-5.085
0.00665000,-5.099
0.00665500,-5.110
0.00666000,-5.117
0.00666500,-5.127
0.00667000,-5.152
0.00667500,-5.175
0.00668000,-5.163
0.00668500,-5.182
0.00669000,-5.190
0.00669500,-5.207
0.00670000,-5.248
0.00670500,-5.228
0.00671000,-5.253
0.00671500,-5.276
0.00672000,-5.265
0.00672500,-5.268
0.00673000,-5.297
