Time [s],ia [A],ib [A],ic [A],ua [V],ub [V],uc [V]
0.024,6.818350564,-10.89623016,4.077879596,74.53473663,-11.4419988,-63.09273783
0.02425,7.461234002,-10.73883724,3.277603238,72.33564758,-5.252222669,-67.08342491
0.0245,8.065699334,-10.51840209,2.452702754,69.51638031,1.086210951,-70.60259126
0.02475,8.601990007,-10.24634941,1.644359399,66.85159302,7.534667246,-74.38626026
0.025,9.071923899,-9.887137197,0.815213298,63.9541893,13.39008736,-77.34427666
0.02525,9.492796145,-9.473768723,-0.019027422,60.54113388,19.34193804,-79.88307192
0.0255,9.857829854,-9.001165048,-0.856664806,56.68455505,25.18105181,-81.86560687
0.02575,10.19756963,-8.476521357,-1.721048274,51.5741539,31.19464204,-82.76879594
0.026,10.46150708,-7.896028637,-2.565478443,46.45272064,36.85593602,-83.30865667
0.02625,10.68066029,-7.251647404,-3.429012884,40.41050339,42.14856416,-82.55906755
0.0265,10.81379736,-6.558609715,-4.255187643,34.61241913,46.9533749,-81.56579403
0.02675,10.88504243,-5.838493709,-5.046548722,28.572155,51.75123369,-80.32338869
0.027,10.87489859,-5.0815669,-5.793331695,22.72331429,56.10751108,-78.83082537
0.02725,10.79700045,-4.274292051,-6.522708402,16.61534309,59.74960796,-76.36495105
0.0275,10.65458106,-3.464479366,-7.190101694,10.52985096,63.48158925,-74.01144021
0.02775,10.4540659,-2.634356813,-7.819709084,4.189632893,66.89785797,-71.08749087
0.028,10.16953568,-1.791118589,-8.378417096,-1.638031721,69.81704876,-68.17901704
0.02825,9.852786295,-0.934341235,-8.91844506,-8.270817757,72.48488738,-64.21406963
0.0285,9.498512203,-0.124950829,-9.373561374,-15.07728291,75.88654743,-60.80926453
0.02875,9.052639328,0.714056091,-9.766695419,-21.14649773,78.04857505,-56.90207732
0.029,8.560947426,1.562794794,-10.12374222,-27.45554543,79.54388641,-52.08834098
0.02925,8.006864796,2.417034054,-10.42389885,-33.4599762,80.19444956,-46.73447336
0.0295,7.390815467,3.276350235,-10.6671657,-39.07588577,79.87652783,-40.80064206
0.02975,6.706782303,4.119165153,-10.82594746,-43.88488007,78.82154844,-34.93666837
0.03,6.011542116,4.912900719,-10.92444284,-49.03217316,77.9422398,-28.91006664
0.03025,5.259778815,5.689712771,-10.94949159,-53.46245956,76.18359816,-22.7211386
0.0305,4.500217965,6.420829069,-10.92104703,-58.12646103,74.33225192,-16.20579089
0.03075,3.715820876,7.090173756,-10.80599463,-62.34626389,72.46274244,-10.11647855
0.031,2.878668194,7.727361945,-10.60603014,-65.48270416,69.71262289,-4.229918727
0.03125,2.054512973,8.316317628,-10.3708306,-69.01357269,66.77258881,2.240983881
0.0315,1.200484324,8.860424366,-10.06090869,-71.71614075,63.17431783,8.541822914
0.03175,0.370867719,9.342334466,-9.713202185,-74.75643158,59.56478141,15.19165017
