spi_time,water_temp_filtered,coil_temp_filtered,die_temp_filtered,temp_sensor_filtered_value,coil_temp_estimate,referenceSpeed_rpm,outputSpeed_rpm,dqCommand_imag,dqCommand_real,measurement_running,water_temp_estimate,T_mot_ode_16bit
68450.0,0.7559055118110237,0.8133971291866029,0.8578947368421053,0.8839137645107794,0.710801393728223,0.9662921348314607,0.9542001787310098,0.9357938861057152,0.07323813910640264,1.0,0.7504113775270334,
68460.0,0.7559055118110237,0.8133971291866029,0.8526315789473684,0.8772802653399668,0.7090592334494773,0.9662921348314607,0.9609025915996425,0.9242408751661384,0.08751727314601576,1.0,0.751880582980724,
68470.0,0.7637795275590552,0.7894736842105263,0.8473684210526315,0.8872305140961858,0.710801393728223,0.9662921348314607,0.9647006255585343,0.9150393620284225,0.09672961768770161,1.0,0.7534673248707099,
68480.0,0.7637795275590552,0.861244019138756,0.8578947368421053,0.8872305140961858,0.710801393728223,0.9662921348314607,0.9649240393208222,0.9147326449238319,0.09857208659603878,1.0,0.7549365303244006,
68490.0,0.7637795275590552,0.8133971291866029,0.8526315789473684,0.8872305140961858,0.7125435540069687,0.9662921348314607,0.9579982126899016,0.9334423883038544,0.07692307692307698,1.0,0.7564645039962388,
68500.0,0.7637795275590552,0.8277511961722488,0.8578947368421053,0.8872305140961858,0.7125435540069687,0.9662921348314607,0.9611260053619303,0.9246498313055925,0.08751727314601576,1.0,0.7579924776680771,
68510.0,0.7716535433070867,0.8133971291866029,0.8526315789473684,0.87893864013267,0.7142857142857143,0.9662921348314607,0.9584450402144772,0.9327267150598099,0.07784431137724557,1.0,0.7594616831217678,
68520.0,0.7716535433070867,0.8516746411483254,0.8526315789473684,0.8872305140961858,0.7142857142857143,0.9662921348314607,0.9640303842716711,0.924752070340456,0.0879778903731,1.0,0.7609308885754583,
68530.0,0.7716535433070867,0.8133971291866029,0.8578947368421053,0.8805970149253731,0.7160278745644599,0.9662921348314607,0.9626899016979446,0.9174930988651467,0.09488714877936444,1.0,0.7624588622472966,
68540.0,0.7716535433070867,0.8181818181818181,0.8578947368421053,0.8938640132669984,0.7177700348432056,0.9662921348314607,0.9600089365504915,0.9298640220836315,0.08291110087517273,1.0,0.7641043723554302,
68550.0,0.7716535433070867,0.8038277511961722,0.8657894736842104,0.888888888888889,0.7177700348432056,0.9662921348314607,0.9571045576407506,0.9374297106635313,0.07323813910640264,1.0,0.7654560413728255,
68560.0,0.7716535433070867,0.8229665071770333,0.8578947368421053,0.8905472636815921,0.7212543554006968,0.9662921348314607,0.9635835567470956,0.9158572743073305,0.09626900046061726,1.0,0.767101551480959,
68570.0,0.7795275590551182,0.7942583732057416,0.8657894736842104,0.888888888888889,0.7212543554006968,0.9662921348314607,0.9629133154602323,0.9210714650853696,0.09166282818977434,1.0,0.7686882933709449,
68580.0,0.7716535433070867,0.861244019138756,0.8657894736842104,0.8938640132669984,0.7247386759581882,0.9662921348314607,0.9651474530831099,0.9170841427256927,0.09719023491478584,1.0,0.7702750352609309,
68590.0,0.7795275590551182,0.7990430622009568,0.8657894736842104,0.900497512437811,0.7229965156794425,0.9662921348314607,0.9609025915996425,0.924752070340456,0.08613542146476283,1.0,0.7718030089327691,
68600.0,0.7795275590551182,0.8660287081339713,0.8657894736842104,0.900497512437811,0.7247386759581882,0.9662921348314607,0.9617962466487935,0.9246498313055925,0.08843850760018435,1.0,0.7733309826046074,
68610.0,0.7795275590551182,0.8181818181818181,0.8710526315789473,0.9038142620232172,0.7247386759581882,0.9662921348314607,0.9519660411081322,0.9456088334526123,0.06356517733763245,1.0,0.7747414198401504,
68620.0,0.7795275590551182,0.832535885167464,0.8578947368421053,0.8971807628524047,0.7247386759581882,0.9662921348314607,0.9591152815013404,0.9262856558634087,0.08567480423767848,1.0,0.7761518570756935,
68630.0,0.7795275590551182,0.8708133971291865,0.8657894736842104,0.8971807628524047,0.7247386759581882,0.9662921348314607,0.9588918677390527,0.929966261118495,0.08060801473975132,1.0,0.7775622943112365,
68640.0,0.7795275590551182,0.8277511961722488,0.8657894736842104,0.8938640132669984,0.7264808362369338,0.9662921348314607,0.9573279714030384,0.9388610571516205,0.07185628742514971,1.0,0.7790314997649271,
68650.0,0.7795275590551182,0.8708133971291865,0.8710526315789473,0.9038142620232172,0.7264808362369338,0.9662921348314607,0.9626899016979446,0.9200490747367345,0.09212344541685868,1.0,0.7805007052186177,
68660.0,0.7795275590551182,0.8038277511961722,0.8710526315789473,0.9038142620232172,0.7282229965156795,0.9662921348314607,0.9577747989276139,0.9355894080359881,0.07461999078765547,1.0,0.7819699106723084,
68670.0,0.7874015748031497,0.861244019138756,0.8763157894736842,0.9038142620232172,0.7282229965156795,0.9662921348314607,0.9604557640750669,0.919946835701871,0.09166282818977434,1.0,0.7833215796897037,
68680.0,0.7874015748031497,0.8038277511961722,0.8710526315789473,0.9038142620232172,0.7299651567944251,0.9662921348314607,0.9617962466487935,0.9255699826193641,0.08659603869184718,1.0,0.784849553361542,
68690.0,0.7952755905511811,0.8516746411483254,0.8763157894736842,0.9038142620232172,0.7299651567944251,0.9662921348314607,0.9586684539767649,0.9267968510377262,0.08383233532934131,1.0,0.7863187588152327,
68700.0,0.7874015748031497,0.8038277511961722,0.8710526315789473,0.9021558872305141,0.7317073170731707,0.9662921348314607,0.9586684539767649,0.9282281975258154,0.08245048364808849,1.0,0.7877291960507757,
68710.0,0.8031496062992126,0.8421052631578947,0.8763157894736842,0.8971807628524047,0.7317073170731707,0.9662921348314607,0.9593386952636281,0.9254677435845006,0.08567480423767848,1.0,0.789257169722614,
68720.0,0.7874015748031497,0.8421052631578947,0.894736842105263,0.8971807628524047,0.705574912891986,0.6741573033707865,0.6700178731009829,0.5667109702484409,0.4035006909258407,1.0,0.7886107193229901,
68730.0,0.7874015748031497,0.7799043062200957,0.8842105263157896,0.8905472636815921,0.6846689895470384,0.6741573033707865,0.6706881143878463,0.5645639505163071,0.40442192538000926,1.0,0.7879642689233662,
68740.0,0.7952755905511811,0.7559808612440191,0.8763157894736842,0.8756218905472637,0.6707317073170732,0.6741573033707865,0.6706881143878463,0.5656885798998058,0.40396130815292497,1.0,0.7873178185237423,
68750.0,0.7795275590551182,0.7368421052631577,0.8657894736842104,0.8557213930348259,0.662020905923345,0.6741573033707865,0.6695710455764075,0.5645639505163071,0.40442192538000926,1.0,0.7866713681241184,
68760.0,0.7874015748031497,0.6889952153110048,0.8578947368421053,0.8308457711442786,0.6550522648083623,0.6741573033707865,0.670911528150134,0.5671199263878949,0.4030400736987564,1.0,0.7860249177244946,
68770.0,0.7874015748031497,0.7033492822966507,0.8394736842105264,0.8208955223880597,0.6515679442508711,0.6741573033707865,0.6700178731009829,0.5671199263878949,0.4030400736987564,1.0,0.7854372355430183,
68780.0,0.7874015748031497,0.6555023923444976,0.8394736842105264,0.8076285240464345,0.6498257839721254,0.6741573033707865,0.6700178731009829,0.5674266434924854,0.4030400736987564,1.0,0.7847907851433944,
68790.0,0.7874015748031497,0.6650717703349283,0.8394736842105264,0.7993366500829188,0.6480836236933798,0.6741573033707865,0.6704647006255585,0.5667109702484409,0.4035006909258407,1.0,0.7841443347437705,
68800.0,0.7874015748031497,0.6459330143540669,0.8342105263157895,0.7893864013266999,0.6480836236933798,0.6741573033707865,0.6706881143878463,0.5695736632246192,0.4016582220175035,1.0,0.7834978843441467,
68810.0,0.7874015748031497,0.631578947368421,0.8289473684210527,0.7744610281923715,0.6480836236933798,0.6741573033707865,0.6711349419124217,0.5689602290154381,0.4021188392445878,1.0,0.7828514339445227,
68820.0,0.7874015748031497,0.6363636363636362,0.8289473684210527,0.7694859038142621,0.6463414634146342,0.6741573033707865,0.6693476318141197,0.5692669461200286,0.4016582220175035,1.0,0.7822637517630465,
