Time (seconds),right-pad,center-pad,down-pad,left-pad,top-pad
7.5686274,0.5688889,0.0,0.0,0.0,0.0
7.6184559,0.8177778,0.6577778,0.5177778,0.0,0.22
7.6677055,0.2311111,0.8222222,0.7288889,0.7866667,0.2555556
7.7173948,0.0,0.1177778,0.1066667,0.3933333,0.0
7.7672591,0.0,0.0,0.0,0.0,0.0
7.8166306,0.0,0.0,0.0,0.0,0.0
7.8670628,0.0,0.0,0.0,0.0,0.0
7.9163876,0.0,0.0,0.0,0.0,0.0
7.9659894,0.0,0.0,0.0,0.0,0.0
8.0161057,0.0,0.0,0.0,0.0,0.0
8.0651791,0.0,0.0,0.0,0.0,0.0
8.1152961,0.0,0.0,0.0,0.0,0.0
8.1648493,0.0,0.0,0.0,0.0,0.0
8.2147582,0.0,0.0,0.0,0.0,0.0
8.2636647,0.0,0.0,0.0,0.0,0.0
8.313915,0.0,0.0,0.0,0.0,0.0
8.3630047,0.0,0.0,0.0,0.0,0.0
8.4131415,0.0,0.0,0.0,0.0,0.0
8.4630466,0.0,0.0,0.0,0.0,0.0
8.5123792,0.0,0.0,0.0,0.0,0.0
8.5618784,0.0,0.0,0.0,0.0,0.0
8.6114273,0.0,0.0,0.0,0.0,0.0
8.6618464,0.0,0.0,0.0,0.0,0.0
8.7106106,0.0,0.0,0.0,0.0,0.0
8.7608924,0.1044444,0.0,0.0,0.0,0.0
8.8104911,0.4133333,0.0,0.0,0.0,0.0
8.8599732,0.7955555,0.2022222,0.1266667,0.0,0.0
8.9097435,0.8422222,0.7644445,0.6822222,0.2111111,0.3466667
8.9597256,0.1533333,0.56,0.2555556,0.8022223,0.3666667
9.009208,0.0,0.0755556,0.0,0.2133333,0.0
9.0589178,0.0,0.0,0.0,0.0,0.0
9.1088762,0.0,0.0,0.0,0.0,0.0
9.1585772,0.0,0.0,0.0,0.0,0.0
9.2074792,0.0,0.0,0.0,0.0,0.0
9.2581537,0.0,0.0,0.0,0.0,0.0
9.3072546,0.0,0.0,0.0,0.0,0.0
9.356904,0.0,0.0,0.0,0.0,0.0
9.4073331,0.0,0.0,0.0,0.0,0.0
9.4563479,0.0,0.0,0.0,0.0,0.0
9.5060928,0.0,0.0,0.0,0.0,0.0
9.5558972,0.0,0.0,0.0,0.0,0.0
9.6060786,0.0,0.0,0.0,0.0,0.0
9.6557539,0.0,0.0,0.0,0.0,0.0
9.7053971,0.0,0.0,0.0,0.0,0.0
9.7540925,0.0,0.0,0.0,0.0,0.0
9.8042021,0.0,0.0,0.0,0.0,0.0
9.8543403,0.0,0.0,0.0,0.0,0.0
9.9031916,0.0,0.0,0.0,0.0,0.0
9.9537361,0.0,0.0,0.0,0.0,0.0
10.0027947,0.0,0.0,0.0,0.0,0.0
10.0523748,0.0,0.0,0.0,0.0,0.0
10.1020851,0.0644444,0.0,0.0,0.0,0.0
10.1519856,0.5533333,0.0,0.0,0.0,0.0
10.2015965,0.8133333,0.5266666,0.6,0.0,0.0
10.2512603,0.1911111,0.3888889,0.5111111,0.7088889,0.0
10.3012073,0.0,0.0,0.0711111,0.1,0.0
10.3513081,0.0,0.0,0.0,0.0,0.0
10.4008765,0.0,0.0,0.0,0.0,0.0
10.4505613,0.0,0.0,0.0,0.0,0.0
10.4998333,0.0,0.0,0.0,0.0,0.0
10.5494158,0.0,0.0,0.0,0.0,0.0
10.5996497,0.0,0.0,0.0,0.0,0.0
10.6494167,0.0,0.0,0.0,0.0,0.0
10.6986513,0.0,0.0,0.0,0.0,0.0
10.7480056,0.0,0.0,0.0,0.0,0.0
10.7980273,0.0,0.0,0.0,0.0,0.0
10.847584,0.0,0.0,0.0,0.0,0.0
10.8973961,0.0,0.0,0.0,0.0,0.0
10.9470305,0.0,0.0,0.0,0.0,0.0
10.9971614,0.0,0.0,0.0,0.0,0.0
11.0466282,0.0,0.0,0.0,0.0,0.0
11.0957849,0.0,0.0,0.0,0.0,0.0
11.1459594,0.5644444,0.0,0.1022222,0.0,0.0
11.1954455,0.6155556,0.6533333,0.7488889,0.1977778,0.0
11.2456322,0.0822222,0.1822222,0.3177778,0.3777778,0.0
11.2948606,0.0,0.0,0.0,0.0,0.0
11.3445261,0.0,0.0,0.0,0.0,0.0
11.3938708,0.0,0.0,0.0,0.0,0.0
11.444303,0.0,0.0,0.0,0.0,0.0
11.4940696,0.0,0.0,0.0,0.0,0.0
11.5436299,0.0,0.0,0.0,0.0,0.0
11.5929787,0.0,0.0,0.0,0.0,0.0
11.6427646,0.0,0.0,0.0,0.0,0.0
11.6925852,0.0,0.0,0.0,0.0,0.0
11.7417662,0.0,0.0,0.0,0.0,0.0
11.7914958,0.0,0.0,0.0,0.0,0.0
11.8416822,0.0,0.0,0.0,0.0,0.0
11.8915026,0.0,0.0,0.0,0.0,0.0
11.9403849,0.0,0.0,0.0,0.0,0.0
11.9904115,0.0,0.0,0.0,0.0,0.0
12.0406349,0.0,0.0,0.0,0.0,0.0
12.0898492,0.0,0.0,0.0,0.0,0.0
12.1393852,0.0,0.0,0.0,0.0,0.0
12.1886218,0.0,0.0,0.0,0.0,0.0
12.2385945,0.0,0.0,0.0,0.0,0.0
12.2883031,0.0,0.0,0.0,0.0,0.0
12.3382289,0.0,0.0,0.0,0.0,0.0
12.3878379,0.0,0.0,0.0,0.0,0.0
12.437248,0.0,0.0,0.0,0.0,0.0
12.4866791,0.0844444,0.0,0.0,0.0,0.0
12.5371661,0.28,0.0,0.0,0.0,0.0
12.5863647,0.7422222,0.0,0.0,0.0,0.0
